taxon_tpl,introduction_time,origin,naturalisation_level,naturalisation_category
Acer negundo,neophyte,NrAm,invasive,hemiepoecophyte
Ailanthus altissima,neophyte,As,invasive,hemiepoecophyte
Amaranthus retroflexus,neophyte,NrAm,invasive,epoecophyte
Ambrosia artemisiifolia,neophyte,NrAm,invasive,hemiepoecophyte
Anagallis arvensis,archaeophyte,As,naturalised,epoecophyte
Anchusa officinalis,archaeophyte,Med,naturalised,epoecophyte
Anchusa stylosa,archaeophyte,Med-IT,naturalised,epoecophyte
Apera spica-venti,archaeophyte,unknown,naturalised,epoecophyte
Artemisia absinthium,archaeophyte,IT,naturalised,epoecophyte
Asclepias syriaca,neophyte,NrAm,invasive,epoecophyte
Atriplex tatarica,archaeophyte,Med-IT,naturalised,epoecophyte
Bromus sterilis,archaeophyte,Med-IT,invasive,hemiepoecophyte
Bromus tectorum,archaeophyte,Med-IT,invasive,hemiepoecophyte
Buglossoides arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Camelina microcarpa,archaeophyte,Med-IT,naturalised,epoecophyte
Capsella bursa-pastoris,archaeophyte,unknown,naturalised,hemiepoecophyte
Carduus acanthoides,archaeophyte,Med,naturalised,epoecophyte
Carduus nutans,archaeophyte,Med,naturalised,epoecophyte
Centaurea diffusa,neophyte,Med-IT,invasive,hemiepoecophyte
Cichorium intybus,archaeophyte,Med-IT,naturalised,hemiepoecophyte
Conium maculatum,archaeophyte,Med-IT,naturalised,epoecophyte
Consolida regalis,archaeophyte,Med-IT,naturalised,epoecophyte
Cynoglossum officinale,archaeophyte,Med,naturalised,epoecophyte
Descurainia sophia,archaeophyte,IT,naturalised,epoecophyte
Dianthus barbatus,neophyte,Eu,casual,ergasiophigophyte
Digitaria ischaemum,archaeophyte,Eu,naturalised,hemiepoecophyte
Elaeagnus angustifolia,neophyte,Med,invasive,agriophyte
Eragrostis minor,archaeophyte,Eu,naturalised,epoecophyte
Eragrostis pilosa,archaeophyte,Med-As,naturalised,ephemerophyte
Erigeron annuus,neophyte,NrAm,invasive,hemiepoecophyte
Erigeron canadensis,neophyte,NrAm,invasive,hemiepoecophyte
Erysimum repandum,archaeophyte,IT,naturalised,epoecophyte
Fallopia convolvulus,archaeophyte,unknown,naturalised,epoecophyte
Galium spurium,archaeophyte,Med-IT,naturalised,epoecophyte
Geranium pusillum,archaeophyte,IT,naturalised,epoecophyte
Geranium sibiricum,neophyte,As,naturalised,epoecophyte
Grindelia squarrosa,neophyte,NrAm,invasive,hemiepoecophyte
Hordeum murinum,archaeophyte,Med-IT,naturalised,epoecophyte
Isatis tinctoria,archaeophyte,Eu-Med-IT,naturalised,epoecophyte
Juglans regia,neophyte,As,casual,ergasiophigophyte
Juncus tenuis,neophyte,NrAm,naturalised,hemiepoecophyte
Lactuca serriola,archaeophyte,Med-IT,naturalised,epoecophyte
Lamium amplexicaule,archaeophyte,Med-IT,naturalised,epoecophyte
Lappula squarrosa,archaeophyte,Med-IT,naturalised,epoecophyte
Lathyrus tuberosus,archaeophyte,IT,naturalised,hemiepoecophyte
Lepidium campestre,archaeophyte,Med,naturalised,epoecophyte
Lepidium draba,archaeophyte,Eu-Med,naturalised,epoecophyte
Lepidium perfoliatum,archaeophyte,Med-IT,naturalised,epoecophyte
Lepidium ruderale,archaeophyte,IT,naturalised,epoecophyte
Malus pumila,neophyte,unknown,casual,ergasiophigophyte
Medicago sativa,neophyte,Med-As,naturalised,epoecophyte
Nigella arvensis,archaeophyte,Med,naturalised,epoecophyte
Oenothera biennis,neophyte,NrAm,naturalised,epoecophyte
Onobrychis viciifolia,neophyte,Eu,casual,ephemerophyte
Onopordum acanthium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver dubium,archaeophyte,Med-IT,naturalised,epoecophyte
Papaver rhoeas,archaeophyte,Med-IT,naturalised,epoecophyte
Peganum harmala,archaeophyte,Med-IT,naturalised,epoecophyte
Portulaca oleracea,archaeophyte,IT,naturalised,epoecophyte
Prunus armeniaca,neophyte,As,casual,ephemerophyte
Prunus cerasifera,neophyte,Med,naturalised,ergasiophigophyte
Prunus cerasus,neophyte,Med,naturalised,ergasiophigophyte
Rapistrum perenne,archaeophyte,Med,naturalised,epoecophyte
Reseda lutea,archaeophyte,Med,naturalised,epoecophyte
Reseda luteola,archaeophyte,Med-IT,naturalised,epoecophyte
Setaria viridis,archaeophyte,Med-IT,naturalised,epoecophyte
Sisymbrium altissimum,archaeophyte,Eu-As,naturalised,epoecophyte
Sisymbrium loeselii,archaeophyte,Med-As,naturalised,epoecophyte
Sisymbrium polymorphum,archaeophyte,IT,naturalised,epoecophyte
Solidago canadensis,neophyte,NrAm,invasive,hemiepoecophyte
Sonchus arvensis,archaeophyte,Med,naturalised,epoecophyte
Thymelaea passerina,archaeophyte,Med-IT,naturalised,epoecophyte
Tribulus terrestris,neophyte,Med,naturalised,epoecophyte
Trigonella caerulea,neophyte,Med,casual,ephemerophyte
Tripleurospermum inodorum,archaeophyte,Med-IT,naturalised,epoecophyte
Ulmus pumila,neophyte,As,naturalised,epoecophyte
Valerianella locusta,archaeophyte,Med-IT,naturalised,epoecophyte
Veronica agrestis,archaeophyte,Med,naturalised,epoecophyte
Veronica arvensis,archaeophyte,Med-IT,naturalised,epoecophyte
Veronica triphyllos,archaeophyte,As,naturalised,epoecophyte
Vicia hirsuta,archaeophyte,Med,naturalised,epoecophyte
Vicia sativa,archaeophyte,Med-IT,naturalised,agriophyte
Vicia tetrasperma,archaeophyte,Med,naturalised,epoecophyte
Vicia villosa,archaeophyte,Med,naturalised,hemiepoecophyte
Viola arvensis,archaeophyte,Med,naturalised,epoecophyte
Xanthium albinum,neophyte,Eu,invasive,epoecophyte
